"Education_Fact_ID","Location_ID","Indicator_ID","Source_ID","Year_ID","Total","Female","Male","Urban","Rural","Poorest","Second","Middle","Fourth","Richest","ISOCode","CountryAndAreaName","RegionName","DevlopmentStage","Indicator_Type","Data_Year","Source_Type","Source_Desc"
"40","40","1","1","9","78.270393371582","78.302360534668","78.2394104003906","","","","","","","","COM","Comoros","SSA","Least Developed","Literacy Rate 15 Plus","2018","UIS","UNESCO Institute for Statistics"
"41","41","1","1","9","82.0547866821289","78.7423095703125","85.3416519165039","","","","","","","","COG","Congo","SSA","Less Developed","Literacy Rate 15 Plus","2018","UIS","UNESCO Institute for Statistics"
"42","42","1","0","0","","","","","","","","","","","COK","Cook Islands","EAP","Less Developed","Literacy Rate 15 Plus","Not Available","Not Available","Not Available"
"43","43","1","1","9","99.4300003051758","99.5299987792969","99.3399963378906","","","","","","","","CRI","Costa Rica","LAC","Less Developed","Literacy Rate 15 Plus","2018","UIS","UNESCO Institute for Statistics"
"44","44","1","1","9","58.4201507568359","53.0251007080078","63.8449211120605","","","","","","","","CIV","Côte d'Ivoire","SSA","Less Developed","Literacy Rate 15 Plus","2018","UIS","UNESCO Institute for Statistics"
"45","45","1","0","0","","","","","","","","","","","HRV","Croatia","ECA","More Developed","Literacy Rate 15 Plus","Not Available","Not Available","Not Available"
"46","46","1","0","0","","","","","","","","","","","CUB","Cuba","LAC","Less Developed","Literacy Rate 15 Plus","Not Available","Not Available","Not Available"
"47","47","1","0","0","","","","","","","","","","","CYP","Cyprus","ECA","More Developed","Literacy Rate 15 Plus","Not Available","Not Available","Not Available"
"48","48","1","0","0","","","","","","","","","","","CZE","Czechia","ECA","More Developed","Literacy Rate 15 Plus","Not Available","Not Available","Not Available"
"49","49","1","0","0","","","","","","","","","","","PRK","Democratic People's Republic of Korea","EAP","Less Developed","Literacy Rate 15 Plus","Not Available","Not Available","Not Available"
"50","50","1","0","0","","","","","","","","","","","COD","Democratic Republic of the Congo","SSA","Least Developed","Literacy Rate 15 Plus","Not Available","Not Available","Not Available"
"51","51","1","0","0","","","","","","","","","","","DNK","Denmark","ECA","More Developed","Literacy Rate 15 Plus","Not Available","Not Available","Not Available"
"52","52","1","0","0","","","","","","","","","","","DJI","Djibouti","SSA","Least Developed","Literacy Rate 15 Plus","Not Available","Not Available","Not Available"
"53","53","1","0","0","","","","","","","","","","","DMA","Dominica","LAC","Less Developed","Literacy Rate 15 Plus","Not Available","Not Available","Not Available"
"54","54","1","0","0","","","","","","","","","","","DOM","Dominican Republic","LAC","Less Developed","Literacy Rate 15 Plus","Not Available","Not Available","Not Available"
"55","55","1","0","0","","","","","","","","","","","ECU","Ecuador","LAC","Less Developed","Literacy Rate 15 Plus","Not Available","Not Available","Not Available"
"56","56","1","0","0","","","","","","","","","","","EGY","Egypt","MENA","Less Developed","Literacy Rate 15 Plus","Not Available","Not Available","Not Available"
"57","57","1","1","9","97.9737167358398","98.2106781005859","97.7274475097656","","","","","","","","SLV","El Salvador","LAC","Less Developed","Literacy Rate 15 Plus","2018","UIS","UNESCO Institute for Statistics"
"58","58","1","0","0","","","","","","","","","","","GNQ","Equatorial Guinea","SSA","Less Developed","Literacy Rate 15 Plus","Not Available","Not Available","Not Available"
"59","59","1","1","9","93.2723922729492","92.7140274047852","93.8186798095703","","","","","","","","ERI","Eritrea","SSA","Least Developed","Literacy Rate 15 Plus","2018","UIS","UNESCO Institute for Statistics"
"60","60","1","0","0","","","","","","","","","","","EST","Estonia","ECA","More Developed","Literacy Rate 15 Plus","Not Available","Not Available","Not Available"
"61","61","1","1","9","95.469367980957","96.6952514648438","94.2976913452148","","","","","","","","SWZ","Eswatini","SSA","Less Developed","Literacy Rate 15 Plus","2018","UIS","UNESCO Institute for Statistics"
"62","62","1","0","0","","","","","","","","","","","ETH","Ethiopia","SSA","Least Developed","Literacy Rate 15 Plus","Not Available","Not Available","Not Available"
"63","63","1","0","0","","","","","","","","","","","FJI","Fiji","EAP","Less Developed","Literacy Rate 15 Plus","Not Available","Not Available","Not Available"
"64","64","1","0","0","","","","","","","","","","","FIN","Finland","ECA","More Developed","Literacy Rate 15 Plus","Not Available","Not Available","Not Available"
"65","65","1","0","0","","","","","","","","","","","FRA","France","ECA","More Developed","Literacy Rate 15 Plus","Not Available","Not Available","Not Available"
"66","66","1","1","9","89.7836608886719","91.4493789672852","88.141960144043","","","","","","","","GAB","Gabon","SSA","Less Developed","Literacy Rate 15 Plus","2018","UIS","UNESCO Institute for Statistics"
"67","67","1","0","0","","","","","","","","","","","GMB","Gambia","SSA","Least Developed","Literacy Rate 15 Plus","Not Available","Not Available","Not Available"
"68","68","1","0","0","","","","","","","","","","","GEO","Georgia","ECA","Less Developed","Literacy Rate 15 Plus","Not Available","Not Available","Not Available"
"69","69","1","0","0","","","","","","","","","","","DEU","Germany","ECA","More Developed","Literacy Rate 15 Plus","Not Available","Not Available","Not Available"
"70","70","1","1","9","92.490966796875","92.2085494995117","92.7610015869141","","","","","","","","GHA","Ghana","SSA","Less Developed","Literacy Rate 15 Plus","2018","UIS","UNESCO Institute for Statistics"
"71","71","1","1","9","99.1600036621094","99.0699996948242","99.2600021362305","","","","","","","","GRC","Greece","ECA","More Developed","Literacy Rate 15 Plus","2018","UIS","UNESCO Institute for Statistics"
"72","72","1","0","0","","","","","","","","","","","GRD","Grenada","LAC","Less Developed","Literacy Rate 15 Plus","Not Available","Not Available","Not Available"
"73","73","1","0","0","","","","","","","","","","","GTM","Guatemala","LAC","Less Developed","Literacy Rate 15 Plus","Not Available","Not Available","Not Available"
"74","74","1","0","0","","","","","","","","","","","GIN","Guinea","SSA","Least Developed","Literacy Rate 15 Plus","Not Available","Not Available","Not Available"
"75","75","1","0","0","","","","","","","","","","","GNB","Guinea-Bissau","SSA","Least Developed","Literacy Rate 15 Plus","Not Available","Not Available","Not Available"
"76","76","1","0","0","","","","","","","","","","","GUY","Guyana","LAC","Less Developed","Literacy Rate 15 Plus","Not Available","Not Available","Not Available"
"77","77","1","0","0","","","","","","","","","","","HTI","Haiti","LAC","Least Developed","Literacy Rate 15 Plus","Not Available","Not Available","Not Available"
"78","78","1","0","0","","","","","","","","","","","VAT","Holy See","ECA","Not Classified","Literacy Rate 15 Plus","Not Available","Not Available","Not Available"
"79","79","1","1","9","96.5158386230469","98.1850967407227","94.8919906616211","","","","","","","","HND","Honduras","LAC","Less Developed","Literacy Rate 15 Plus","2018","UIS","UNESCO Institute for Statistics"
"80","80","1","0","0","","","","","","","","","","","HUN","Hungary","ECA","More Developed","Literacy Rate 15 Plus","Not Available","Not Available","Not Available"
"81","81","1","0","0","","","","","","","","","","","ISL","Iceland","ECA","More Developed","Literacy Rate 15 Plus","Not Available","Not Available","Not Available"
"82","82","1","1","9","91.6640396118164","90.1694107055664","92.9929733276367","","","","","","","","IND","India","SA","Less Developed","Literacy Rate 15 Plus","2018","UIS","UNESCO Institute for Statistics"
"83","83","1","1","9","99.7070770263672","99.6962509155273","99.7174835205078","","","","","","","","IDN","Indonesia","EAP","Less Developed","Literacy Rate 15 Plus","2018","UIS","UNESCO Institute for Statistics"
"84","84","1","0","0","","","","","","","","","","","IRN","Iran (Islamic Republic of)","MENA","Less Developed","Literacy Rate 15 Plus","Not Available","Not Available","Not Available"
"85","85","1","0","0","","","","","","","","","","","IRQ","Iraq","MENA","Less Developed","Literacy Rate 15 Plus","Not Available","Not Available","Not Available"
"86","86","1","0","0","","","","","","","","","","","IRL","Ireland","ECA","More Developed","Literacy Rate 15 Plus","Not Available","Not Available","Not Available"
"87","87","1","0","0","","","","","","","","","","","ISR","Israel","MENA","More Developed","Literacy Rate 15 Plus","Not Available","Not Available","Not Available"
"88","88","1","1","9","99.9300003051758","99.9499969482422","99.9199981689453","","","","","","","","ITA","Italy","ECA","More Developed","Literacy Rate 15 Plus","2018","UIS","UNESCO Institute for Statistics"
"89","89","1","0","0","","","","","","","","","","","JAM","Jamaica","LAC","Less Developed","Literacy Rate 15 Plus","Not Available","Not Available","Not Available"
"90","90","1","0","0","","","","","","","","","","","JPN","Japan","EAP","More Developed","Literacy Rate 15 Plus","Not Available","Not Available","Not Available"
"91","91","1","1","9","99.3437423706055","99.4939117431641","99.1961212158203","","","","","","","","JOR","Jordan","MENA","Less Developed","Literacy Rate 15 Plus","2018","UIS","UNESCO Institute for Statistics"
"92","92","1","1","9","99.8973617553711","99.8509063720703","99.9401397705078","","","","","","","","KAZ","Kazakhstan","ECA","Less Developed","Literacy Rate 15 Plus","2018","UIS","UNESCO Institute for Statistics"
"93","93","1","1","9","87.8300018310547","88.0800018310547","87.5899963378906","","","","","","","","KEN","Kenya","SSA","Less Developed","Literacy Rate 15 Plus","2018","UIS","UNESCO Institute for Statistics"
"94","94","1","0","0","","","","","","","","","","","KIR","Kiribati","EAP","Least Developed","Literacy Rate 15 Plus","Not Available","Not Available","Not Available"
"95","95","1","1","9","99.0801315307617","99.503547668457","98.7767868041992","","","","","","","","KWT","Kuwait","MENA","Less Developed","Literacy Rate 15 Plus","2018","UIS","UNESCO Institute for Statistics"
"96","96","1","1","9","99.75","99.8099975585938","99.6900024414062","","","","","","","","KGZ","Kyrgyzstan","ECA","Less Developed","Literacy Rate 15 Plus","2018","UIS","UNESCO Institute for Statistics"
"97","97","1","0","0","","","","","","","","","","","LAO","Lao People's Democratic Republic","EAP","Least Developed","Literacy Rate 15 Plus","Not Available","Not Available","Not Available"
"98","98","1","1","9","99.8199996948242","99.8600006103516","99.7799987792969","","","","","","","","LVA","Latvia","ECA","More Developed","Literacy Rate 15 Plus","2018","UIS","UNESCO Institute for Statistics"
"99","99","1","1","9","99.751823425293","99.838981628418","99.6627426147461","","","","","","","","LBN","Lebanon","MENA","Less Developed","Literacy Rate 15 Plus","2018","UIS","UNESCO Institute for Statistics"
"100","100","1","0","0","","","","","","","","","","","LSO","Lesotho","SSA","Least Developed","Literacy Rate 15 Plus","Not Available","Not Available","Not Available"
"101","101","1","0","0","","","","","","","","","","","LBR","Liberia","SSA","Least Developed","Literacy Rate 15 Plus","Not Available","Not Available","Not Available"
"102","102","1","0","0","","","","","","","","","","","LBY","Libya","MENA","Less Developed","Literacy Rate 15 Plus","Not Available","Not Available","Not Available"
"103","103","1","0","0","","","","","","","","","","","LIE","Liechtenstein","ECA","More Developed","Literacy Rate 15 Plus","Not Available","Not Available","Not Available"
"104","104","1","0","0","","","","","","","","","","","LTU","Lithuania","ECA","More Developed","Literacy Rate 15 Plus","Not Available","Not Available","Not Available"
"105","105","1","0","0","","","","","","","","","","","LUX","Luxembourg","ECA","More Developed","Literacy Rate 15 Plus","Not Available","Not Available","Not Available"
"106","106","1","1","9","81.198371887207","80.6780319213867","81.719841003418","","","","","","","","MDG","Madagascar","SSA","Least Developed","Literacy Rate 15 Plus","2018","UIS","UNESCO Institute for Statistics"
"107","107","1","0","0","","","","","","","","","","","MWI","Malawi","SSA","Least Developed","Literacy Rate 15 Plus","Not Available","Not Available","Not Available"
"108","108","1","1","9","96.8503265380859","97.0185317993164","96.6958236694336","","","","","","","","MYS","Malaysia","EAP","Less Developed","Literacy Rate 15 Plus","2018","UIS","UNESCO Institute for Statistics"
"109","109","1","0","0","","","","","","","","","","","MDV","Maldives","SA","Less Developed","Literacy Rate 15 Plus","Not Available","Not Available","Not Available"
"110","110","1","1","9","50.1347007751465","43.3981094360352","57.8332595825195","","","","","","","","MLI","Mali","SSA","Least Developed","Literacy Rate 15 Plus","2018","UIS","UNESCO Institute for Statistics"
"111","111","1","1","9","99.3007125854492","99.5608825683594","99.0569534301758","","","","","","","","MLT","Malta","ECA","More Developed","Literacy Rate 15 Plus","2018","UIS","UNESCO Institute for Statistics"
"112","112","1","0","0","","","","","","","","","","","MHL","Marshall Islands","EAP","Less Developed","Literacy Rate 15 Plus","Not Available","Not Available","Not Available"
"113","113","1","0","0","","","","","","","","","","","MRT","Mauritania","SSA","Least Developed","Literacy Rate 15 Plus","Not Available","Not Available","Not Available"
"114","114","1","1","9","99.0420303344727","99.3534164428711","98.7379837036133","","","","","","","","MUS","Mauritius","SSA","Less Developed","Literacy Rate 15 Plus","2018","UIS","UNESCO Institute for Statistics"
"115","115","1","1","9","99.3184509277344","99.3884735107422","99.2486419677734","","","","","","","","MEX","Mexico","LAC","Less Developed","Literacy Rate 15 Plus","2018","UIS","UNESCO Institute for Statistics"
"116","116","1","0","0","","","","","","","","","","","FSM","Micronesia (Federated States of)","EAP","Less Developed","Literacy Rate 15 Plus","Not Available","Not Available","Not Available"
"117","117","1","0","0","","","","","","","","","","","MCO","Monaco","ECA","More Developed","Literacy Rate 15 Plus","Not Available","Not Available","Not Available"
"118","118","1","1","9","98.629997253418","99.0800018310547","98.1900024414062","","","","","","","","MNG","Mongolia","EAP","Less Developed","Literacy Rate 15 Plus","2018","UIS","UNESCO Institute for Statistics"
"119","119","1","1","9","99.1100006103516","98.9700012207031","99.2300033569336","","","","","","","","MNE","Montenegro","ECA","More Developed","Literacy Rate 15 Plus","2018","UIS","UNESCO Institute for Statistics"
"120","120","1","0","0","","","","","","","","","","","MSR","Montserrat","LAC","Not Classified","Literacy Rate 15 Plus","Not Available","Not Available","Not Available"
"121","121","1","1","9","97.7300033569336","97.4000015258789","98.0400009155273","","","","","","","","MAR","Morocco","MENA","Less Developed","Literacy Rate 15 Plus","2018","UIS","UNESCO Institute for Statistics"
"122","122","1","0","0","","","","","","","","","","","MOZ","Mozambique","SSA","Least Developed","Literacy Rate 15 Plus","Not Available","Not Available","Not Available"
"123","123","1","0","0","","","","","","","","","","","MMR","Myanmar","EAP","Least Developed","Literacy Rate 15 Plus","Not Available","Not Available","Not Available"
"124","124","1","1","9","95.1649017333984","96.1984405517578","94.1093673706055","","","","","","","","NAM","Namibia","SSA","Less Developed","Literacy Rate 15 Plus","2018","UIS","UNESCO Institute for Statistics"
"125","125","1","0","0","","","","","","","","","","","NRU","Nauru","EAP","Less Developed","Literacy Rate 15 Plus","Not Available","Not Available","Not Available"
"126","126","1","1","9","92.3938064575195","90.8834686279297","94.0342788696289","","","","","","","","NPL","Nepal","SA","Least Developed","Literacy Rate 15 Plus","2018","UIS","UNESCO Institute for Statistics"
"127","127","1","0","0","","","","","","","","","","","NLD","Netherlands","ECA","More Developed","Literacy Rate 15 Plus","Not Available","Not Available","Not Available"
"128","128","1","0","0","","","","","","","","","","","NZL","New Zealand","EAP","More Developed","Literacy Rate 15 Plus","Not Available","Not Available","Not Available"
"129","129","1","0","0","","","","","","","","","","","NIC","Nicaragua","LAC","Less Developed","Literacy Rate 15 Plus","Not Available","Not Available","Not Available"
"130","130","1","1","9","43.4599990844727","35.560001373291","51.0699996948242","","","","","","","","NER","Niger","SSA","Least Developed","Literacy Rate 15 Plus","2018","UIS","UNESCO Institute for Statistics"
"131","131","1","1","9","75.0287475585938","68.2626266479492","81.5806427001953","","","","","","","","NGA","Nigeria","SSA","Less Developed","Literacy Rate 15 Plus","2018","UIS","UNESCO Institute for Statistics"
"132","132","1","0","0","","","","","","","","","","","NIU","Niue","EAP","Less Developed","Literacy Rate 15 Plus","Not Available","Not Available","Not Available"
"133","133","1","0","0","","","","","","","","","","","MKD","North Macedonia","ECA","More Developed","Literacy Rate 15 Plus","Not Available","Not Available","Not Available"
"134","134","1","0","0","","","","","","","","","","","NOR","Norway","ECA","More Developed","Literacy Rate 15 Plus","Not Available","Not Available","Not Available"
"135","135","1","1","9","98.6178283691406","98.9794311523438","98.3566284179688","","","","","","","","OMN","Oman","MENA","Less Developed","Literacy Rate 15 Plus","2018","UIS","UNESCO Institute for Statistics"
"136","136","1","0","0","","","","","","","","","","","PAK","Pakistan","SA","Less Developed","Literacy Rate 15 Plus","Not Available","Not Available","Not Available"
"137","137","1","0","0","","","","","","","","","","","PLW","Palau","EAP","Less Developed","Literacy Rate 15 Plus","Not Available","Not Available","Not Available"
"138","138","1","1","9","99.0990905761719","98.8742904663086","99.3122024536133","","","","","","","","PAN","Panama","LAC","Less Developed","Literacy Rate 15 Plus","2018","UIS","UNESCO Institute for Statistics"
"139","139","1","0","0","","","","","","","","","","","PNG","Papua New Guinea","EAP","Less Developed","Literacy Rate 15 Plus","Not Available","Not Available","Not Available"
"140","140","1","1","9","98.2815170288086","98.8678436279297","97.732421875","","","","","","","","PRY","Paraguay","LAC","Less Developed","Literacy Rate 15 Plus","2018","UIS","UNESCO Institute for Statistics"
"141","141","1","1","9","99.0237579345703","98.9669723510742","99.0792007446289","","","","","","","","PER","Peru","LAC","Less Developed","Literacy Rate 15 Plus","2018","UIS","UNESCO Institute for Statistics"
"142","142","1","0","0","","","","","","","","","","","PHL","Philippines","EAP","Less Developed","Literacy Rate 15 Plus","Not Available","Not Available","Not Available"
"143","143","1","0","0","","","","","","","","","","","POL","Poland","ECA","More Developed","Literacy Rate 15 Plus","Not Available","Not Available","Not Available"
"144","144","1","1","9","99.6639175415039","99.7015609741211","99.6265716552734","","","","","","","","PRT","Portugal","ECA","More Developed","Literacy Rate 15 Plus","2018","UIS","UNESCO Institute for Statistics"
"145","145","1","0","0","","","","","","","","","","","QAT","Qatar","MENA","Less Developed","Literacy Rate 15 Plus","Not Available","Not Available","Not Available"
"146","146","1","0","0","","","","","","","","","","","KOR","Republic of Korea","EAP","Less Developed","Literacy Rate 15 Plus","Not Available","Not Available","Not Available"
"147","147","1","0","0","","","","","","","","","","","MDA","Republic of Moldova","ECA","More Developed","Literacy Rate 15 Plus","Not Available","Not Available","Not Available"
"148","148","1","1","9","99.4291915893555","99.4396820068359","99.4193801879883","","","","","","","","ROU","Romania","ECA","More Developed","Literacy Rate 15 Plus","2018","UIS","UNESCO Institute for Statistics"
"149","149","1","1","9","99.6984481811523","99.7490921020508","99.6499710083008","","","","","","","","RUS","Russian Federation","ECA","More Developed","Literacy Rate 15 Plus","2018","UIS","UNESCO Institute for Statistics"
"150","150","1","1","9","86.4927673339844","88.501823425293","84.325927734375","","","","","","","","RWA","Rwanda","SSA","Least Developed","Literacy Rate 15 Plus","2018","UIS","UNESCO Institute for Statistics"
"151","151","1","0","0","","","","","","","","","","","KNA","Saint Kitts and Nevis","LAC","Less Developed","Literacy Rate 15 Plus","Not Available","Not Available","Not Available"
"152","152","1","0","0","","","","","","","","","","","LCA","Saint Lucia","LAC","Less Developed","Literacy Rate 15 Plus","Not Available","Not Available","Not Available"
"153","153","1","0","0","","","","","","","","","","","VCT","Saint Vincent and the Grenadines","LAC","Less Developed","Literacy Rate 15 Plus","Not Available","Not Available","Not Available"
"154","154","1","1","9","99.1234817504883","99.4357528686523","98.8415069580078","","","","","","","","WSM","Samoa","EAP","Less Developed","Literacy Rate 15 Plus","2018","UIS","UNESCO Institute for Statistics"
"155","155","1","1","9","100.0","100.0","100.0","","","","","","","","SMR","San Marino","ECA","More Developed","Literacy Rate 15 Plus","2018","UIS","UNESCO Institute for Statistics"
"156","156","1","1","9","97.7825469970703","97.8541793823242","97.7124633789062","","","","","","","","STP","Sao Tome and Principe","SSA","Least Developed","Literacy Rate 15 Plus","2018","UIS","UNESCO Institute for Statistics"
"157","157","1","0","0","","","","","","","","","","","SAU","Saudi Arabia","MENA","Less Developed","Literacy Rate 15 Plus","Not Available","Not Available","Not Available"
"158","158","1","0","0","","","","","","","","","","","SEN","Senegal","SSA","Least Developed","Literacy Rate 15 Plus","Not Available","Not Available","Not Available"
"159","159","1","0","0","","","","","","","","","","","SRB","Serbia","ECA","More Developed","Literacy Rate 15 Plus","Not Available","Not Available","Not Available"
"160","160","1","1","9","99.0699996948242","99.5999984741211","98.5599975585938","","","","","","","","SYC","Seychelles","SSA","Less Developed","Literacy Rate 15 Plus","2018","UIS","UNESCO Institute for Statistics"
"161","161","1","1","9","66.6485977172852","62.69921875","70.5761108398438","","","","","","","","SLE","Sierra Leone","SSA","Least Developed","Literacy Rate 15 Plus","2018","UIS","UNESCO Institute for Statistics"
"162","162","1","1","9","99.9296264648438","99.9423675537109","99.9174194335938","","","","","","","","SGP","Singapore","EAP","Less Developed","Literacy Rate 15 Plus","2018","UIS","UNESCO Institute for Statistics"
"163","163","1","0","0","","","","","","","","","","","SVK","Slovakia","ECA","More Developed","Literacy Rate 15 Plus","Not Available","Not Available","Not Available"
"164","164","1","0","0","","","","","","","","","","","SVN","Slovenia","ECA","More Developed","Literacy Rate 15 Plus","Not Available","Not Available","Not Available"
"165","165","1","0","0","","","","","","","","","","","SLB","Solomon Islands","EAP","Least Developed","Literacy Rate 15 Plus","Not Available","Not Available","Not Available"
"166","166","1","0","0","","","","","","","","","","","SOM","Somalia","SSA","Least Developed","Literacy Rate 15 Plus","Not Available","Not Available","Not Available"
"167","167","1","0","0","","","","","","","","","","","ZAF","South Africa","SSA","Less Developed","Literacy Rate 15 Plus","Not Available","Not Available","Not Available"
"168","168","1","1","9","47.9009590148926","47.3692016601562","48.4251403808594","","","","","","","","SSD","South Sudan","SSA","Least Developed","Literacy Rate 15 Plus","2018","UIS","UNESCO Institute for Statistics"
"169","169","1","1","9","99.7155532836914","99.743896484375","99.6884994506836","","","","","","","","ESP","Spain","ECA","More Developed","Literacy Rate 15 Plus","2018","UIS","UNESCO Institute for Statistics"
