"Fact_ID","Location_ID","Indicator_ID","Source_ID","Year_ID","Obs_Value","ISOCode","CountryAndAreaName","RegionName","DevlopmentStage","Indicator_Type","Data_Year","Source_Type","Source_Desc"
"77","21","21","2","7","107.0","BTN","Bhutan","SA","Least Developed","Child deaths (aged 5-14 years)","2016","UN_IGME","United Nations Inter-agency Group for Child Mortality Estimation"
"78","21","21","2","8","102.0","BTN","Bhutan","SA","Least Developed","Child deaths (aged 5-14 years)","2017","UN_IGME","United Nations Inter-agency Group for Child Mortality Estimation"
"79","21","21","2","9","98.0","BTN","Bhutan","SA","Least Developed","Child deaths (aged 5-14 years)","2018","UN_IGME","United Nations Inter-agency Group for Child Mortality Estimation"
"80","21","21","2","10","94.0","BTN","Bhutan","SA","Least Developed","Child deaths (aged 5-14 years)","2019","UN_IGME","United Nations Inter-agency Group for Child Mortality Estimation"
"81","22","21","2","7","1051.0","BOL","Bolivia (Plurinational State of)","LAC","Less Developed","Child deaths (aged 5-14 years)","2016","UN_IGME","United Nations Inter-agency Group for Child Mortality Estimation"
"82","22","21","2","8","1021.0","BOL","Bolivia (Plurinational State of)","LAC","Less Developed","Child deaths (aged 5-14 years)","2017","UN_IGME","United Nations Inter-agency Group for Child Mortality Estimation"
"83","22","21","2","9","995.0","BOL","Bolivia (Plurinational State of)","LAC","Less Developed","Child deaths (aged 5-14 years)","2018","UN_IGME","United Nations Inter-agency Group for Child Mortality Estimation"
"84","22","21","2","10","966.0","BOL","Bolivia (Plurinational State of)","LAC","Less Developed","Child deaths (aged 5-14 years)","2019","UN_IGME","United Nations Inter-agency Group for Child Mortality Estimation"
"85","23","21","2","7","43.0","BIH","Bosnia and Herzegovina","ECA","More Developed","Child deaths (aged 5-14 years)","2016","UN_IGME","United Nations Inter-agency Group for Child Mortality Estimation"
"86","23","21","2","8","43.0","BIH","Bosnia and Herzegovina","ECA","More Developed","Child deaths (aged 5-14 years)","2017","UN_IGME","United Nations Inter-agency Group for Child Mortality Estimation"
"87","23","21","2","9","43.0","BIH","Bosnia and Herzegovina","ECA","More Developed","Child deaths (aged 5-14 years)","2018","UN_IGME","United Nations Inter-agency Group for Child Mortality Estimation"
"88","23","21","2","10","42.0","BIH","Bosnia and Herzegovina","ECA","More Developed","Child deaths (aged 5-14 years)","2019","UN_IGME","United Nations Inter-agency Group for Child Mortality Estimation"
"89","24","21","2","7","311.0","BWA","Botswana","SSA","Less Developed","Child deaths (aged 5-14 years)","2016","UN_IGME","United Nations Inter-agency Group for Child Mortality Estimation"
"90","24","21","2","8","306.0","BWA","Botswana","SSA","Less Developed","Child deaths (aged 5-14 years)","2017","UN_IGME","United Nations Inter-agency Group for Child Mortality Estimation"
"91","24","21","2","9","303.0","BWA","Botswana","SSA","Less Developed","Child deaths (aged 5-14 years)","2018","UN_IGME","United Nations Inter-agency Group for Child Mortality Estimation"
"92","24","21","2","10","298.0","BWA","Botswana","SSA","Less Developed","Child deaths (aged 5-14 years)","2019","UN_IGME","United Nations Inter-agency Group for Child Mortality Estimation"
"93","25","21","2","7","7909.0","BRA","Brazil","LAC","Less Developed","Child deaths (aged 5-14 years)","2016","UN_IGME","United Nations Inter-agency Group for Child Mortality Estimation"
"94","25","21","2","8","7598.0","BRA","Brazil","LAC","Less Developed","Child deaths (aged 5-14 years)","2017","UN_IGME","United Nations Inter-agency Group for Child Mortality Estimation"
"95","25","21","2","9","7315.0","BRA","Brazil","LAC","Less Developed","Child deaths (aged 5-14 years)","2018","UN_IGME","United Nations Inter-agency Group for Child Mortality Estimation"
"96","25","21","2","10","7046.0","BRA","Brazil","LAC","Less Developed","Child deaths (aged 5-14 years)","2019","UN_IGME","United Nations Inter-agency Group for Child Mortality Estimation"
"97","27","21","2","7","17.0","BRN","Brunei Darussalam","EAP","Less Developed","Child deaths (aged 5-14 years)","2016","UN_IGME","United Nations Inter-agency Group for Child Mortality Estimation"
"98","27","21","2","8","17.0","BRN","Brunei Darussalam","EAP","Less Developed","Child deaths (aged 5-14 years)","2017","UN_IGME","United Nations Inter-agency Group for Child Mortality Estimation"
"99","27","21","2","9","16.0","BRN","Brunei Darussalam","EAP","Less Developed","Child deaths (aged 5-14 years)","2018","UN_IGME","United Nations Inter-agency Group for Child Mortality Estimation"
"100","27","21","2","10","16.0","BRN","Brunei Darussalam","EAP","Less Developed","Child deaths (aged 5-14 years)","2019","UN_IGME","United Nations Inter-agency Group for Child Mortality Estimation"
"101","28","21","2","7","125.0","BGR","Bulgaria","ECA","More Developed","Child deaths (aged 5-14 years)","2016","UN_IGME","United Nations Inter-agency Group for Child Mortality Estimation"
"102","28","21","2","8","124.0","BGR","Bulgaria","ECA","More Developed","Child deaths (aged 5-14 years)","2017","UN_IGME","United Nations Inter-agency Group for Child Mortality Estimation"
"103","28","21","2","9","122.0","BGR","Bulgaria","ECA","More Developed","Child deaths (aged 5-14 years)","2018","UN_IGME","United Nations Inter-agency Group for Child Mortality Estimation"
"104","28","21","2","10","121.0","BGR","Bulgaria","ECA","More Developed","Child deaths (aged 5-14 years)","2019","UN_IGME","United Nations Inter-agency Group for Child Mortality Estimation"
"105","29","21","2","7","10333.0","BFA","Burkina Faso","SSA","Least Developed","Child deaths (aged 5-14 years)","2016","UN_IGME","United Nations Inter-agency Group for Child Mortality Estimation"
"106","29","21","2","8","10284.0","BFA","Burkina Faso","SSA","Least Developed","Child deaths (aged 5-14 years)","2017","UN_IGME","United Nations Inter-agency Group for Child Mortality Estimation"
"107","29","21","2","9","10229.0","BFA","Burkina Faso","SSA","Least Developed","Child deaths (aged 5-14 years)","2018","UN_IGME","United Nations Inter-agency Group for Child Mortality Estimation"
"108","29","21","2","10","10131.0","BFA","Burkina Faso","SSA","Least Developed","Child deaths (aged 5-14 years)","2019","UN_IGME","United Nations Inter-agency Group for Child Mortality Estimation"
"109","30","21","2","7","6616.0","BDI","Burundi","SSA","Least Developed","Child deaths (aged 5-14 years)","2016","UN_IGME","United Nations Inter-agency Group for Child Mortality Estimation"
"110","30","21","2","8","6791.0","BDI","Burundi","SSA","Least Developed","Child deaths (aged 5-14 years)","2017","UN_IGME","United Nations Inter-agency Group for Child Mortality Estimation"
"111","30","21","2","9","6914.0","BDI","Burundi","SSA","Least Developed","Child deaths (aged 5-14 years)","2018","UN_IGME","United Nations Inter-agency Group for Child Mortality Estimation"
"112","30","21","2","10","7016.0","BDI","Burundi","SSA","Least Developed","Child deaths (aged 5-14 years)","2019","UN_IGME","United Nations Inter-agency Group for Child Mortality Estimation"
"113","31","21","2","7","22.0","CPV","Cabo Verde","SSA","Less Developed","Child deaths (aged 5-14 years)","2016","UN_IGME","United Nations Inter-agency Group for Child Mortality Estimation"
"114","31","21","2","8","22.0","CPV","Cabo Verde","SSA","Less Developed","Child deaths (aged 5-14 years)","2017","UN_IGME","United Nations Inter-agency Group for Child Mortality Estimation"
"115","31","21","2","9","21.0","CPV","Cabo Verde","SSA","Less Developed","Child deaths (aged 5-14 years)","2018","UN_IGME","United Nations Inter-agency Group for Child Mortality Estimation"
"116","31","21","2","10","20.0","CPV","Cabo Verde","SSA","Less Developed","Child deaths (aged 5-14 years)","2019","UN_IGME","United Nations Inter-agency Group for Child Mortality Estimation"
"117","32","21","2","7","1766.0","KHM","Cambodia","EAP","Least Developed","Child deaths (aged 5-14 years)","2016","UN_IGME","United Nations Inter-agency Group for Child Mortality Estimation"
"118","32","21","2","8","1714.0","KHM","Cambodia","EAP","Least Developed","Child deaths (aged 5-14 years)","2017","UN_IGME","United Nations Inter-agency Group for Child Mortality Estimation"
"119","32","21","2","9","1673.0","KHM","Cambodia","EAP","Least Developed","Child deaths (aged 5-14 years)","2018","UN_IGME","United Nations Inter-agency Group for Child Mortality Estimation"
"120","32","21","2","10","1630.0","KHM","Cambodia","EAP","Least Developed","Child deaths (aged 5-14 years)","2019","UN_IGME","United Nations Inter-agency Group for Child Mortality Estimation"
"121","33","21","2","7","15919.0","CMR","Cameroon","SSA","Less Developed","Child deaths (aged 5-14 years)","2016","UN_IGME","United Nations Inter-agency Group for Child Mortality Estimation"
"122","33","21","2","8","16029.0","CMR","Cameroon","SSA","Less Developed","Child deaths (aged 5-14 years)","2017","UN_IGME","United Nations Inter-agency Group for Child Mortality Estimation"
"123","33","21","2","9","16086.0","CMR","Cameroon","SSA","Less Developed","Child deaths (aged 5-14 years)","2018","UN_IGME","United Nations Inter-agency Group for Child Mortality Estimation"
"124","33","21","2","10","16065.0","CMR","Cameroon","SSA","Less Developed","Child deaths (aged 5-14 years)","2019","UN_IGME","United Nations Inter-agency Group for Child Mortality Estimation"
"125","34","21","2","7","395.0","CAN","Canada","NA","More Developed","Child deaths (aged 5-14 years)","2016","UN_IGME","United Nations Inter-agency Group for Child Mortality Estimation"
"126","34","21","2","8","381.0","CAN","Canada","NA","More Developed","Child deaths (aged 5-14 years)","2017","UN_IGME","United Nations Inter-agency Group for Child Mortality Estimation"
"127","34","21","2","9","367.0","CAN","Canada","NA","More Developed","Child deaths (aged 5-14 years)","2018","UN_IGME","United Nations Inter-agency Group for Child Mortality Estimation"
"128","34","21","2","10","355.0","CAN","Canada","NA","More Developed","Child deaths (aged 5-14 years)","2019","UN_IGME","United Nations Inter-agency Group for Child Mortality Estimation"
"129","35","21","2","7","2053.0","CAF","Central African Republic","SSA","Least Developed","Child deaths (aged 5-14 years)","2016","UN_IGME","United Nations Inter-agency Group for Child Mortality Estimation"
"130","35","21","2","8","2017.0","CAF","Central African Republic","SSA","Least Developed","Child deaths (aged 5-14 years)","2017","UN_IGME","United Nations Inter-agency Group for Child Mortality Estimation"
"131","35","21","2","9","1980.0","CAF","Central African Republic","SSA","Least Developed","Child deaths (aged 5-14 years)","2018","UN_IGME","United Nations Inter-agency Group for Child Mortality Estimation"
"132","35","21","2","10","1945.0","CAF","Central African Republic","SSA","Least Developed","Child deaths (aged 5-14 years)","2019","UN_IGME","United Nations Inter-agency Group for Child Mortality Estimation"
"133","36","21","2","7","12141.0","TCD","Chad","SSA","Least Developed","Child deaths (aged 5-14 years)","2016","UN_IGME","United Nations Inter-agency Group for Child Mortality Estimation"
"134","36","21","2","8","12146.0","TCD","Chad","SSA","Least Developed","Child deaths (aged 5-14 years)","2017","UN_IGME","United Nations Inter-agency Group for Child Mortality Estimation"
"135","36","21","2","9","12141.0","TCD","Chad","SSA","Least Developed","Child deaths (aged 5-14 years)","2018","UN_IGME","United Nations Inter-agency Group for Child Mortality Estimation"
"136","36","21","2","10","12116.0","TCD","Chad","SSA","Least Developed","Child deaths (aged 5-14 years)","2019","UN_IGME","United Nations Inter-agency Group for Child Mortality Estimation"
"137","37","21","2","7","368.0","CHL","Chile","LAC","Less Developed","Child deaths (aged 5-14 years)","2016","UN_IGME","United Nations Inter-agency Group for Child Mortality Estimation"
"138","37","21","2","8","364.0","CHL","Chile","LAC","Less Developed","Child deaths (aged 5-14 years)","2017","UN_IGME","United Nations Inter-agency Group for Child Mortality Estimation"
"139","37","21","2","9","359.0","CHL","Chile","LAC","Less Developed","Child deaths (aged 5-14 years)","2018","UN_IGME","United Nations Inter-agency Group for Child Mortality Estimation"
"140","37","21","2","10","353.0","CHL","Chile","LAC","Less Developed","Child deaths (aged 5-14 years)","2019","UN_IGME","United Nations Inter-agency Group for Child Mortality Estimation"
"141","38","21","2","7","34721.0","CHN","China","EAP","Less Developed","Child deaths (aged 5-14 years)","2016","UN_IGME","United Nations Inter-agency Group for Child Mortality Estimation"
"142","38","21","2","8","33844.0","CHN","China","EAP","Less Developed","Child deaths (aged 5-14 years)","2017","UN_IGME","United Nations Inter-agency Group for Child Mortality Estimation"
"143","38","21","2","9","33033.0","CHN","China","EAP","Less Developed","Child deaths (aged 5-14 years)","2018","UN_IGME","United Nations Inter-agency Group for Child Mortality Estimation"
"144","38","21","2","10","32278.0","CHN","China","EAP","Less Developed","Child deaths (aged 5-14 years)","2019","UN_IGME","United Nations Inter-agency Group for Child Mortality Estimation"
"145","39","21","2","7","2008.0","COL","Colombia","LAC","Less Developed","Child deaths (aged 5-14 years)","2016","UN_IGME","United Nations Inter-agency Group for Child Mortality Estimation"
"146","39","21","2","8","1970.0","COL","Colombia","LAC","Less Developed","Child deaths (aged 5-14 years)","2017","UN_IGME","United Nations Inter-agency Group for Child Mortality Estimation"
"147","39","21","2","9","1938.0","COL","Colombia","LAC","Less Developed","Child deaths (aged 5-14 years)","2018","UN_IGME","United Nations Inter-agency Group for Child Mortality Estimation"
"148","39","21","2","10","1907.0","COL","Colombia","LAC","Less Developed","Child deaths (aged 5-14 years)","2019","UN_IGME","United Nations Inter-agency Group for Child Mortality Estimation"
"149","40","21","2","7","188.0","COM","Comoros","SSA","Least Developed","Child deaths (aged 5-14 years)","2016","UN_IGME","United Nations Inter-agency Group for Child Mortality Estimation"
"150","40","21","2","8","187.0","COM","Comoros","SSA","Least Developed","Child deaths (aged 5-14 years)","2017","UN_IGME","United Nations Inter-agency Group for Child Mortality Estimation"
"151","40","21","2","9","185.0","COM","Comoros","SSA","Least Developed","Child deaths (aged 5-14 years)","2018","UN_IGME","United Nations Inter-agency Group for Child Mortality Estimation"
"152","40","21","2","10","184.0","COM","Comoros","SSA","Least Developed","Child deaths (aged 5-14 years)","2019","UN_IGME","United Nations Inter-agency Group for Child Mortality Estimation"
"153","41","21","2","7","1160.0","COG","Congo","SSA","Less Developed","Child deaths (aged 5-14 years)","2016","UN_IGME","United Nations Inter-agency Group for Child Mortality Estimation"
"154","41","21","2","8","1154.0","COG","Congo","SSA","Less Developed","Child deaths (aged 5-14 years)","2017","UN_IGME","United Nations Inter-agency Group for Child Mortality Estimation"
"155","41","21","2","9","1147.0","COG","Congo","SSA","Less Developed","Child deaths (aged 5-14 years)","2018","UN_IGME","United Nations Inter-agency Group for Child Mortality Estimation"
"156","41","21","2","10","1136.0","COG","Congo","SSA","Less Developed","Child deaths (aged 5-14 years)","2019","UN_IGME","United Nations Inter-agency Group for Child Mortality Estimation"
"157","42","21","2","7","0.0","COK","Cook Islands","EAP","Less Developed","Child deaths (aged 5-14 years)","2016","UN_IGME","United Nations Inter-agency Group for Child Mortality Estimation"
"158","42","21","2","8","0.0","COK","Cook Islands","EAP","Less Developed","Child deaths (aged 5-14 years)","2017","UN_IGME","United Nations Inter-agency Group for Child Mortality Estimation"
"159","42","21","2","9","0.0","COK","Cook Islands","EAP","Less Developed","Child deaths (aged 5-14 years)","2018","UN_IGME","United Nations Inter-agency Group for Child Mortality Estimation"
"160","42","21","2","10","0.0","COK","Cook Islands","EAP","Less Developed","Child deaths (aged 5-14 years)","2019","UN_IGME","United Nations Inter-agency Group for Child Mortality Estimation"
